职位,公司简称,工作地点,薪资,工作经验,学历,技能标签,行业,融资状况,公司人数
高级工程师/技术专家,蚂蚁金服,广州·天河区,30-60K,3-5年,本科,"golang,Java,c/c+",互联网,不需要融资,10000人以上
Java开发工程师,阿里巴巴集团,广州·天河区,25-50K,5-10年,本科,"Java,Linux",互联网,不需要融资,10000人以上
阿里JAVA高级开发/技术专家--Base杭州总部,阿里巴巴集团,广州·越秀区,30-60K·16薪,经验不限,本科,"Java,SQL,Spring,分布式技术,MySQL,Linux,Dubbo,中间件",互联网,不需要融资,10000人以上
Oracle NetSuite(SaaS ERP)资深功能顾问,甲骨文,广州·天河区,25-50K,10年以上,本科,"实施工程师,ERP,SaaS,ebs,oracle,功能顾问",计算机软件,已上市,10000人以上
解决方案架构师,亚马逊AWS,广州·天河区,60-90K,3-5年,本科,"云计算,互联网,IT",互联网,已上市,10000人以上
阿里巴巴高级开发工程师,阿里巴巴集团,广州·天河区,30-60K,3-5年,本科,Java,互联网,不需要融资,10000人以上
C++开发工程师,唯品会,广州·荔湾区,25-50K,5-10年,本科,"Linux/C++,分布式开发,多线程",互联网,已上市,10000人以上
泛互联网解决方案架构师（广州）,腾讯,广州·天河区,25-50K,5-10年,本科,"售前技术支持,宣讲能力,技术广度",互联网,已上市,10000人以上
知识图谱主任工程师,唯品会,广州·荔湾区,35-55K,5-10年,硕士,"深度学习算法,自然语言处理",互联网,已上市,10000人以上
行业产品架构师,腾讯,广州,30-50K·14薪,5-10年,本科,"架构师,CTO,分布式技术,IT项目管理,全栈开发,大数据,人工智能,区块链",互联网,已上市,10000人以上
游戏引擎开发工程师（经验不限）,网易,广州·天河区,25-50K·16薪,经验不限,本科,"C++,Lua,游戏引擎,UE4开发,图形学,3D引擎,物理引擎",移动互联网,已上市,10000人以上
政务业务架构师（华南区域）,腾讯,广州,30-60K·18薪,3-5年,本科,"架构师,大数据",互联网,已上市,10000人以上
